"You can leave a box blank if you don't wish to add a gift message for this address.","You can leave a box blank if you don't wish to add a gift message for this address."
"You can leave a box blank if you don't wish to add a gift message for whole order.","You can leave a box blank if you don't wish to add a gift message for whole order."
"You cannot send more invitations","You cannot send more invitations"
"You have logged out and will be redirected to our homepage in 5 seconds.","You have logged out and will be redirected to our homepage in 5 seconds."
"You have no additional address entries in your address book.","You have no additional address entries in your address book."
"You have no additional entries in your address book.","You have no additional entries in your address book."
"You have no default billing address in your address book.","You have no default billing address in your address book."
"You have no default entries in your address book.","You have no default entries in your address book."
"You have no items in your shopping cart.","You have no items in your shopping cart."
"You have no items in your wishlist.","You have no items in your wishlist."
"You have no items to compare.","You have no items to compare."
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
"You have not tagged any products yet.","You have not tagged any products yet."
"You have placed no orders yet.","You have placed no orders yet."
"You have placed no orders.","You have placed no orders."
"You have placed no products yet.","You have placed no products yet."
"You have submitted no reviews.","You have submitted no reviews."
"You haven't sent any invitation yet","You haven't sent any invitation yet"
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","You must have JavaScript enabled in your browser to utilize the functionality of this website."
"You will be required to enter your payment details after you place an order.","You will be required to enter your payment details after you place an order."
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
"You're reviewing: %s","You're reviewing: %s"
"Your Checkout Progress","Your Checkout Progress"
"Your Rating:","Your Rating:"
"Your Recently Compared","Your Recently Compared"
"Your Recently Viewed","Your Recently Viewed"
"Your Review (submitted on %s):","Your Review (submitted on %s):"
"Your account balance is: %s","Your account balance is: %s"
"Your credit card will be charged for","Your credit card will be charged for"
"Your current balance is %s %s %s.","Your current balance is %s %s %s."
"Your current balance is %s.","Your current balance is %s."
"Your current balance is:","Your current balance is:"
"Your current currency is: %s","Your current currency is: %s"
"Your order # is: %s","Your order # is: %s"
"Your order # is: %s.","Your order # is: %s."
"Your order has been received","Your order has been received"
"Your order number is","Your order number is"
"Your search returns no results.","Your search returns no results."
"Zip/Postal Code","Zip/Postal Code"
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
"and","and"
"available","available"
"each","each"
"iPhone Cache","iPhone Cache"
"iPhone Detect","iPhone Detect"
"learn more...","learn more..."
"of %s %s (%s) available","of %s %s (%s) available"
"per page","per page"
"sample","sample"
"select all","select all"
"unselect all","unselect all"
